level,vineyard_id,row_id,blocks,rows,segments,length_m,canopy_m2,canopy_ha,interrow_m2,interrow_ha,row_structure
row,V11,V11-R026,,,1,51.33,,,,,regular
row,V11,V11-R027,,,1,47.29,,,,,regular
row,V11,V11-R028,,,2,53.78,,,,,regular
row,V11,V11-R029,,,2,75.5,,,,,disrupted|regular
row,V11,V11-R030,,,1,19.78,,,,,regular
row,V11,V11-R031,,,1,10.5,,,,,regular
row,V11,V11-R032,,,1,44.32,,,,,regular
row,V11,V11-R033,,,1,6.01,,,,,regular
row,V11,V11-R034,,,1,43.62,,,,,regular
row,V11,V11-R035,,,1,17.4,,,,,regular
row,V11,V11-R036,,,1,42.7,,,,,regular
row,V11,V11-R037,,,1,20.73,,,,,regular
row,V11,V11-R038,,,1,30.84,,,,,disrupted
row,V11,V11-R039,,,1,29.75,,,,,disrupted
row,V11,V11-R040,,,1,29.06,,,,,regular
row,V11,V11-R041,,,1,46.16,,,,,regular
row,V11,V11-R042,,,1,40.4,,,,,regular
row,V11,V11-R043,,,1,36.76,,,,,regular
row,V11,V11-R044,,,1,45.93,,,,,disrupted
row,V11,V11-R045,,,1,51.3,,,,,disrupted
row,V11,V11-R046,,,1,46.92,,,,,disrupted
row,V11,V11-R047,,,1,51.3,,,,,disrupted
row,V11,V11-R048,,,1,47.58,,,,,disrupted
row,V11,V11-R049,,,1,51.3,,,,,disrupted
row,V11,V11-R050,,,1,53.62,,,,,regular
row,V11,V11-R051,,,1,53.58,,,,,regular
row,V11,V11-R052,,,1,53.63,,,,,disrupted
row,V11,V11-R053,,,1,53.59,,,,,disrupted
row,V11,V11-R054,,,1,57.55,,,,,disrupted
row,V11,V11-R055,,,1,53.59,,,,,disrupted
row,V11,V11-R056,,,1,51.29,,,,,disrupted
row,V11,V11-R057,,,1,46.37,,,,,regular
row,V11,V11-R058,,,1,51.29,,,,,disrupted
row,V11,V11-R059,,,1,57.54,,,,,disrupted
row,V11,V11-R060,,,1,57.6,,,,,disrupted
row,V11,V11-R061,,,1,51.3,,,,,disrupted
row,V11,V11-R062,,,1,45.55,,,,,disrupted
row,V11,V11-R063,,,1,41.13,,,,,disrupted
row,V11,V11-R064,,,1,51.3,,,,,disrupted
row,V11,V11-R065,,,1,35.27,,,,,disrupted
row,V11,V11-R066,,,1,43.57,,,,,disrupted
row,V11,V11-R067,,,1,1.55,,,,,regular
row,V11,V11-R068,,,1,12.05,,,,,regular
row,V11,V11-R069,,,1,9.25,,,,,regular
row,V11,V11-R070,,,1,38.65,,,,,disrupted
row,V11,V11-R071,,,1,17.86,,,,,regular
row,V11,V11-R072,,,1,38.28,,,,,disrupted
row,V11,V11-R073,,,1,51.19,,,,,disrupted
row,V11,V11-R074,,,1,30.73,,,,,disrupted
row,V11,V11-R075,,,1,51.2,,,,,disrupted
row,V11,V11-R076,,,1,51.2,,,,,disrupted
row,V11,V11-R077,,,1,51.2,,,,,disrupted
row,V11,V11-R078,,,1,44.29,,,,,disrupted
row,V11,V11-R079,,,1,51.19,,,,,disrupted
row,V11,V11-R080,,,1,31.67,,,,,disrupted
row,V11,V11-R081,,,1,52.15,,,,,disrupted
row,V11,V11-R082,,,1,51.2,,,,,disrupted
row,V11,V11-R083,,,1,52.12,,,,,disrupted
row,V11,V11-R084,,,1,52.13,,,,,disrupted
row,V11,V11-R085,,,1,52.15,,,,,disrupted
row,V11,V11-R086,,,1,51.21,,,,,disrupted
row,V11,V11-R087,,,1,45.12,,,,,disrupted
row,V11,V11-R088,,,1,51.19,,,,,disrupted
row,V11,V11-R089,,,1,51.2,,,,,disrupted
row,V11,V11-R090,,,1,51.2,,,,,disrupted
row,V11,V11-R091,,,1,51.2,,,,,disrupted
row,V11,V11-R092,,,1,51.2,,,,,disrupted
row,V11,V11-R093,,,1,51.2,,,,,disrupted
row,V11,V11-R094,,,1,51.2,,,,,disrupted
row,V11,V11-R095,,,1,51.2,,,,,disrupted
row,V11,V11-R096,,,1,1.74,,,,,regular
row,V11,V11-R097,,,1,51.22,,,,,disrupted
row,V11,V11-R098,,,1,51.22,,,,,disrupted
row,V11,V11-R099,,,1,51.24,,,,,regular
row,V11,V11-R100,,,1,51.23,,,,,disrupted
row,V11,V11-R101,,,1,51.22,,,,,disrupted
row,V11,V11-R102,,,1,51.24,,,,,disrupted
row,V11,V11-R103,,,1,51.23,,,,,disrupted
row,V11,V11-R104,,,1,51.23,,,,,disrupted
row,V11,V11-R105,,,1,51.24,,,,,regular
row,V11,V11-R106,,,1,51.23,,,,,disrupted
row,V11,V11-R107,,,1,51.24,,,,,regular
row,V11,V11-R108,,,1,51.22,,,,,regular
row,V11,V11-R109,,,1,51.24,,,,,regular
row,V11,V11-R110,,,1,51.22,,,,,regular
row,V12,V12-R01,,,1,50.01,,,,,regular
row,V12,V12-R02,,,1,55.67,,,,,regular
row,V12,V12-R03,,,1,65.28,,,,,regular
row,V13,V13-R01,,,1,50.15,,,,,regular
row,V13,V13-R02,,,1,43.25,,,,,regular
row,V13,V13-R03,,,1,37.75,,,,,regular
row,V13,V13-R04,,,1,28.05,,,,,regular
row,V13,V13-R05,,,1,17.87,,,,,regular
row,V13,V13-R06,,,1,11.53,,,,,regular
row,V13,V13-R07,,,1,7.17,,,,,regular
row,V13,V13-R08,,,1,9.56,,,,,regular
row,V13,V13-R09,,,1,51.25,,,,,disrupted
row,V14,V14-R01,,,1,45.77,,,,,disrupted
row,V14,V14-R02,,,1,52.12,,,,,disrupted
row,V14,V14-R03,,,1,52.14,,,,,disrupted
row,V14,V14-R04,,,1,51.24,,,,,disrupted
row,V14,V14-R05,,,1,51.24,,,,,disrupted
row,V14,V14-R06,,,1,45.83,,,,,disrupted
row,V14,V14-R07,,,1,43.52,,,,,disrupted
row,V14,V14-R08,,,1,45.87,,,,,disrupted
row,V14,V14-R09,,,1,51.29,,,,,disrupted
row,V14,V14-R10,,,1,51.3,,,,,disrupted
row,V14,V14-R11,,,1,51.3,,,,,disrupted
row,V14,V14-R12,,,1,51.29,,,,,disrupted
row,V14,V14-R13,,,1,51.3,,,,,disrupted
row,V14,V14-R14,,,1,21.51,,,,,regular
row,V14,V14-R15,,,1,51.29,,,,,disrupted
row,V14,V14-R16,,,1,44.73,,,,,disrupted
row,V15,V15-R01,,,1,24.6,,,,,regular
row,V15,V15-R02,,,1,1.27,,,,,regular
row,V15,V15-R03,,,1,50.11,,,,,regular
row,V15,V15-R04,,,1,51.5,,,,,regular
row,V15,V15-R05,,,1,51.48,,,,,regular
row,V15,V15-R06,,,1,51.49,,,,,regular
row,V15,V15-R07,,,1,51.5,,,,,regular
row,V15,V15-R08,,,1,51.48,,,,,regular
row,V15,V15-R09,,,1,51.49,,,,,regular
row,V15,V15-R10,,,1,51.5,,,,,regular
row,V15,V15-R11,,,1,35.22,,,,,regular
row,V15,V15-R12,,,1,51.5,,,,,regular
row,V15,V15-R13,,,1,51.08,,,,,regular
row,V15,V15-R14,,,1,49.08,,,,,regular
row,V15,V15-R15,,,1,47.3,,,,,regular
row,V15,V15-R16,,,1,46.3,,,,,regular
row,V15,V15-R17,,,1,44.47,,,,,regular
row,V15,V15-R18,,,1,1.66,,,,,regular
row,V15,V15-R19,,,1,11.15,,,,,regular
row,V16,V16-R01,,,1,46.08,,,,,disrupted
row,V16,V16-R02,,,1,42.92,,,,,disrupted
row,V16,V16-R03,,,1,42.83,,,,,disrupted
row,V16,V16-R04,,,1,51.25,,,,,disrupted
row,V16,V16-R05,,,1,45.42,,,,,disrupted
row,V17,V17-R01,,,1,23.95,,,,,regular
row,V17,V17-R02,,,1,51.38,,,,,regular
row,V17,V17-R03,,,1,51.37,,,,,regular
row,V17,V17-R04,,,1,51.37,,,,,regular
row,V17,V17-R05,,,1,51.37,,,,,regular
row,V17,V17-R06,,,1,51.37,,,,,regular
row,V17,V17-R07,,,1,51.35,,,,,regular
row,V17,V17-R08,,,1,51.37,,,,,regular
row,V17,V17-R09,,,1,51.37,,,,,regular
row,V18,V18-R01,,,1,4.57,,,,,regular
row,V18,V18-R02,,,1,15.99,,,,,regular
row,V18,V18-R03,,,1,23.76,,,,,regular
row,V19,V19-R01,,,1,53.65,,,,,regular
row,V19,V19-R02,,,1,53.66,,,,,regular
row,V19,V19-R03,,,1,53.64,,,,,regular
row,V19,V19-R04,,,1,53.64,,,,,regular
row,V20,V20-R01,,,1,51.42,,,,,disrupted
row,V20,V20-R02,,,1,46.2,,,,,disrupted
row,V20,V20-R03,,,1,40.43,,,,,disrupted
row,V20,V20-R04,,,1,28.65,,,,,disrupted
row,V20,V20-R05,,,1,22.62,,,,,disrupted
row,V21,V21-R01,,,1,28.74,,,,,regular
row,V21,V21-R02,,,1,34.74,,,,,disrupted
row,V21,V21-R03,,,1,40.83,,,,,disrupted
row,V21,V21-R04,,,1,46.23,,,,,disrupted
row,V21,V21-R05,,,1,51.7,,,,,disrupted
row,V21,V21-R06,,,1,64.1,,,,,disrupted
row,V21,V21-R07,,,1,62.52,,,,,disrupted
row,V21,V21-R08,,,1,35.87,,,,,regular
row,V21,V21-R09,,,1,35.39,,,,,regular
row,V21,V21-R10,,,1,53.19,,,,,disrupted
row,V21,V21-R11,,,1,59.22,,,,,disrupted
row,V21,V21-R12,,,1,64.06,,,,,disrupted
row,V21,V21-R13,,,1,64.13,,,,,disrupted
row,V21,V21-R14,,,1,64.04,,,,,disrupted
row,V22,V22-R01,,,1,42.45,,,,,regular
row,V22,V22-R02,,,1,44.88,,,,,disrupted
row,V22,V22-R03,,,1,65.69,,,,,disrupted
row,V22,V22-R04,,,1,65.9,,,,,disrupted
row,V22,V22-R05,,,1,8.94,,,,,regular
row,V22,V22-R06,,,1,65.9,,,,,disrupted
row,V22,V22-R07,,,1,4.2,,,,,regular
row,V22,V22-R08,,,1,17.1,,,,,disrupted
row,V22,V22-R09,,,2,37.78,,,,,regular
row,V22,V22-R10,,,1,34.39,,,,,regular
row,V22,V22-R11,,,2,65.5,,,,,disrupted
row,V23,V23-R01,,,1,51.56,,,,,regular
row,V23,V23-R02,,,1,51.57,,,,,disrupted
row,V23,V23-R03,,,1,51.55,,,,,regular
row,V23,V23-R04,,,1,51.55,,,,,disrupted
row,V23,V23-R05,,,1,51.57,,,,,regular
row,V23,V23-R06,,,1,51.55,,,,,regular
row,V23,V23-R07,,,1,51.56,,,,,regular
row,V23,V23-R08,,,1,51.55,,,,,regular
row,V23,V23-R09,,,1,51.55,,,,,regular
row,V24,V24-R01,,,3,90.48,,,,,regular
row,V24,V24-R02,,,3,123.16,,,,,disrupted|regular
row,V24,V24-R03,,,3,129.01,,,,,disrupted|regular
row,V24,V24-R04,,,3,129.59,,,,,disrupted|regular
row,V24,V24-R05,,,3,128.96,,,,,disrupted|regular
row,V24,V24-R06,,,2,126.98,,,,,disrupted
row,V24,V24-R07,,,1,2.0,,,,,regular
row,V24,V24-R08,,,3,129.34,,,,,disrupted|regular
row,V24,V24-R09,,,1,8.89,,,,,regular
row,V24,V24-R10,,,2,120.12,,,,,disrupted|regular
row,V24,V24-R11,,,1,14.43,,,,,regular
row,V24,V24-R12,,,2,114.39,,,,,disrupted
row,V24,V24-R13,,,2,107.5,,,,,disrupted
row,V24,V24-R14,,,1,20.44,,,,,regular
row,V24,V24-R15,,,1,25.25,,,,,disrupted
row,V24,V24-R16,,,2,96.1,,,,,disrupted
row,V24,V24-R17,,,1,26.18,,,,,disrupted
row,V24,V24-R18,,,2,84.54,,,,,disrupted
row,V24,V24-R19,,,2,66.58,,,,,disrupted|regular
row,V24,V24-R20,,,1,20.72,,,,,regular
row,V24,V24-R21,,,2,64.66,,,,,disrupted|regular
row,V24,V24-R22,,,3,96.45,,,,,disrupted|regular
row,V24,V24-R23,,,3,95.75,,,,,disrupted|regular
row,V24,V24-R24,,,3,89.95,,,,,disrupted|regular
row,V24,V24-R25,,,1,4.33,,,,,regular
row,V24,V24-R26,,,2,80.2,,,,,disrupted|regular
row,V24,V24-R27,,,2,72.33,,,,,disrupted|regular
row,V24,V24-R28,,,1,67.82,,,,,disrupted
row,V24,V24-R29,,,2,64.32,,,,,disrupted|regular
row,V24,V24-R30,,,2,131.02,,,,,disrupted
row,V24,V24-R31,,,3,131.3,,,,,disrupted|regular
row,V24,V24-R32,,,1,56.11,,,,,disrupted
row,V24,V24-R33,,,2,75.12,,,,,disrupted|regular
row,V24,V24-R34,,,1,51.99,,,,,disrupted
row,V24,V24-R35,,,1,17.22,,,,,regular
row,V24,V24-R36,,,1,21.08,,,,,disrupted
row,V24,V24-R37,,,1,22.92,,,,,regular
row,V24,V24-R38,,,1,17.12,,,,,regular
row,V24,V24-R39,,,2,85.08,,,,,disrupted|regular
row,V24,V24-R40,,,1,23.19,,,,,disrupted
row,V24,V24-R41,,,3,105.54,,,,,disrupted|regular
row,V24,V24-R42,,,3,99.4,,,,,disrupted|regular
row,V24,V24-R43,,,3,98.58,,,,,disrupted|regular
row,V24,V24-R44,,,3,99.17,,,,,disrupted
row,V24,V24-R45,,,2,86.18,,,,,disrupted
row,V24,V24-R46,,,1,7.37,,,,,regular
row,V24,V24-R47,,,3,86.63,,,,,disrupted|regular
row,V24,V24-R48,,,3,84.32,,,,,regular
row,V24,V24-R49,,,1,10.65,,,,,regular
row,V24,V24-R50,,,2,73.83,,,,,disrupted|regular
row,V24,V24-R51,,,3,84.57,,,,,regular
row,V24,V24-R52,,,1,1.08,,,,,regular
row,V24,V24-R53,,,2,85.8,,,,,disrupted|regular
row,V24,V24-R54,,,2,63.29,,,,,disrupted|regular
row,V24,V24-R55,,,1,29.3,,,,,disrupted
row,V24,V24-R56,,,1,50.18,,,,,disrupted
row,V24,V24-R57,,,2,53.83,,,,,disrupted|regular
row,V24,V24-R58,,,3,107.29,,,,,disrupted|regular
row,V24,V24-R59,,,3,113.11,,,,,disrupted|regular
row,V24,V24-R60,,,3,118.72,,,,,disrupted|regular
row,V24,V24-R61,,,3,123.78,,,,,regular
row,V24,V24-R62,,,2,64.56,,,,,regular
row,V24,V24-R63,,,3,128.4,,,,,disrupted|regular
row,V24,V24-R64,,,3,128.64,,,,,disrupted|regular
row,V24,V24-R65,,,3,128.29,,,,,disrupted|regular
row,V24,V24-R66,,,2,124.46,,,,,disrupted|regular
row,V24,V24-R67,,,2,111.42,,,,,disrupted|regular
row,V24,V24-R68,,,1,53.32,,,,,disrupted
row,V24,V24-R69,,,1,46.88,,,,,disrupted
row,V24,V24-R70,,,1,57.84,,,,,disrupted
row,V25,V25-R01,,,1,51.6,,,,,disrupted
row,V25,V25-R02,,,1,33.37,,,,,disrupted
row,V25,V25-R03,,,1,36.49,,,,,disrupted
row,V25,V25-R04,,,1,51.27,,,,,disrupted
row,V25,V25-R05,,,1,51.25,,,,,disrupted
row,V25,V25-R06,,,1,3.34,,,,,regular
row,V26,V26-R01,,,1,11.85,,,,,regular
row,V26,V26-R02,,,1,22.7,,,,,regular
row,V26,V26-R03,,,1,22.04,,,,,regular
row,V27,V27-R01,,,1,51.28,,,,,disrupted
row,V27,V27-R02,,,1,51.27,,,,,regular
row,V27,V27-R03,,,1,38.8,,,,,regular
row,V27,V27-R04,,,1,51.27,,,,,regular
row,V27,V27-R05,,,1,51.25,,,,,regular
row,V28,V28-R01,,,2,83.99,,,,,disrupted
row,V28,V28-R02,,,1,15.63,,,,,regular
row,V28,V28-R03,,,2,73.84,,,,,disrupted
row,V28,V28-R04,,,1,3.5,,,,,regular
row,V28,V28-R05,,,1,41.1,,,,,regular
row,V29,V29-R01,,,1,41.15,,,,,disrupted
row,V29,V29-R02,,,2,60.99,,,,,disrupted|regular
row,V29,V29-R03,,,3,130.41,,,,,disrupted|regular
row,V29,V29-R04,,,2,78.21,,,,,regular
row,V29,V29-R05,,,2,83.87,,,,,regular
row,V29,V29-R06,,,4,104.32,,,,,regular
row,V29,V29-R07,,,3,94.9,,,,,disrupted|regular
row,V29,V29-R08,,,3,100.72,,,,,regular
row,V29,V29-R09,,,3,106.35,,,,,regular
row,V29,V29-R10,,,3,105.29,,,,,regular
row,V29,V29-R11,,,3,118.19,,,,,disrupted|regular
row,V29,V29-R12,,,3,124.04,,,,,regular
row,V29,V29-R13,,,3,128.7,,,,,regular
row,V29,V29-R14,,,3,129.03,,,,,regular
row,V29,V29-R15,,,3,128.74,,,,,regular
row,V29,V29-R16,,,3,129.33,,,,,disrupted|regular
row,V29,V29-R17,,,3,129.32,,,,,disrupted|regular
row,V29,V29-R18,,,3,128.71,,,,,disrupted|regular
row,V29,V29-R19,,,3,129.25,,,,,disrupted|regular
row,V29,V29-R20,,,2,64.43,,,,,disrupted|regular
row,V29,V29-R21,,,1,38.79,,,,,regular
row,V29,V29-R22,,,2,84.0,,,,,regular
row,V29,V29-R23,,,4,104.87,,,,,regular
row,V29,V29-R24,,,3,109.55,,,,,regular
row,V29,V29-R25,,,1,19.42,,,,,disrupted
row,V29,V29-R26,,,3,104.09,,,,,disrupted|regular
row,V29,V29-R27,,,1,26.7,,,,,disrupted
row,V29,V29-R28,,,2,84.24,,,,,regular
row,V29,V29-R29,,,3,118.57,,,,,disrupted|regular
row,V29,V29-R30,,,3,124.7,,,,,disrupted|regular
row,V29,V29-R31,,,3,127.19,,,,,disrupted|regular
row,V29,V29-R32,,,1,52.76,,,,,disrupted
row,V29,V29-R33,,,2,74.99,,,,,regular
row,V29,V29-R34,,,1,49.39,,,,,disrupted
row,V29,V29-R35,,,2,69.28,,,,,regular
row,V29,V29-R36,,,1,55.38,,,,,disrupted
row,V29,V29-R37,,,2,64.58,,,,,regular
row,V29,V29-R38,,,1,53.1,,,,,disrupted
row,V29,V29-R39,,,2,64.41,,,,,disrupted|regular
row,V29,V29-R40,,,1,56.4,,,,,disrupted
row,V29,V29-R41,,,2,64.35,,,,,regular
row,V29,V29-R42,,,1,53.97,,,,,disrupted
row,V29,V29-R43,,,2,64.44,,,,,regular
row,V29,V29-R44,,,1,61.16,,,,,disrupted
row,V29,V29-R45,,,2,64.62,,,,,regular
row,V29,V29-R46,,,1,58.04,,,,,disrupted
row,V29,V29-R47,,,2,64.53,,,,,regular
row,V29,V29-R48,,,1,51.2,,,,,disrupted
row,V29,V29-R49,,,2,64.83,,,,,regular
row,V29,V29-R50,,,2,65.0,,,,,regular
row,V29,V29-R51,,,2,47.71,,,,,disrupted|regular
row,V29,V29-R52,,,1,49.12,,,,,regular
row,V29,V29-R53,,,1,36.36,,,,,disrupted
row,V29,V29-R54,,,3,93.18,,,,,disrupted|regular
row,V29,V29-R55,,,2,64.53,,,,,regular
row,V29,V29-R56,,,1,17.15,,,,,regular
row,V29,V29-R57,,,2,68.48,,,,,regular
row,V29,V29-R58,,,1,15.98,,,,,regular
row,V29,V29-R59,,,3,84.09,,,,,regular
row,V29,V29-R60,,,3,83.87,,,,,regular
row,V29,V29-R61,,,3,148.06,,,,,disrupted|regular
row,V29,V29-R62,,,1,18.67,,,,,regular
row,V29,V29-R63,,,2,64.32,,,,,disrupted|regular
row,V29,V29-R64,,,2,64.49,,,,,regular
row,V29,V29-R65,,,1,13.22,,,,,regular
row,V29,V29-R66,,,3,85.18,,,,,disrupted|regular
row,V29,V29-R67,,,2,64.17,,,,,regular
row,V29,V29-R68,,,2,64.03,,,,,regular
row,V29,V29-R69,,,3,113.01,,,,,disrupted|regular
row,V29,V29-R70,,,3,106.8,,,,,disrupted|regular
row,V29,V29-R71,,,3,101.59,,,,,disrupted|regular
row,V29,V29-R72,,,3,95.53,,,,,disrupted|regular
row,V29,V29-R73,,,1,5.93,,,,,regular
row,V30,V30-R01,,,1,4.35,,,,,regular
row,V30,V30-R02,,,1,7.63,,,,,regular
row,V30,V30-R03,,,1,7.17,,,,,regular
row,V30,V30-R04,,,1,35.67,,,,,disrupted
row,V31,V31-R01,,,1,21.23,,,,,disrupted
row,V31,V31-R02,,,1,51.25,,,,,disrupted
row,V31,V31-R03,,,1,2.49,,,,,regular
row,V31,V31-R04,,,1,7.76,,,,,regular
row,V31,V31-R05,,,1,10.97,,,,,regular
row,V32,V32-R001,,,1,12.09,,,,,regular
row,V32,V32-R002,,,1,16.29,,,,,disrupted
row,V32,V32-R003,,,1,51.27,,,,,disrupted
row,V32,V32-R004,,,1,51.25,,,,,disrupted
row,V32,V32-R005,,,1,29.31,,,,,disrupted
row,V32,V32-R006,,,1,51.28,,,,,disrupted
row,V32,V32-R007,,,1,40.82,,,,,regular
row,V32,V32-R008,,,1,40.44,,,,,regular
row,V32,V32-R009,,,1,28.79,,,,,disrupted
row,V32,V32-R010,,,1,33.27,,,,,disrupted
row,V32,V32-R011,,,1,47.03,,,,,disrupted
row,V32,V32-R012,,,1,51.45,,,,,disrupted
row,V32,V32-R013,,,1,18.92,,,,,regular
row,V32,V32-R014,,,1,31.72,,,,,disrupted
row,V32,V32-R015,,,1,53.52,,,,,disrupted
row,V32,V32-R016,,,1,47.42,,,,,disrupted
row,V32,V32-R017,,,1,51.43,,,,,disrupted
row,V32,V32-R018,,,1,22.98,,,,,regular
row,V32,V32-R019,,,1,53.49,,,,,disrupted
row,V32,V32-R020,,,1,4.48,,,,,regular
row,V32,V32-R021,,,1,23.47,,,,,disrupted
row,V32,V32-R022,,,1,47.05,,,,,disrupted
row,V32,V32-R023,,,1,51.45,,,,,disrupted
row,V32,V32-R024,,,1,51.44,,,,,disrupted
row,V32,V32-R025,,,1,58.1,,,,,disrupted
row,V32,V32-R026,,,1,53.52,,,,,disrupted
row,V32,V32-R027,,,1,51.45,,,,,disrupted
row,V32,V32-R028,,,1,51.43,,,,,disrupted
row,V32,V32-R029,,,1,62.66,,,,,disrupted
row,V32,V32-R030,,,1,53.52,,,,,disrupted
row,V32,V32-R031,,,1,13.79,,,,,regular
row,V32,V32-R032,,,1,51.47,,,,,disrupted
row,V32,V32-R033,,,1,10.31,,,,,regular
row,V32,V32-R034,,,1,51.45,,,,,disrupted
row,V32,V32-R035,,,1,64.15,,,,,disrupted
row,V32,V32-R036,,,1,40.86,,,,,disrupted
row,V32,V32-R037,,,1,9.58,,,,,regular
row,V32,V32-R038,,,1,3.65,,,,,regular
row,V32,V32-R039,,,1,51.45,,,,,disrupted
row,V32,V32-R040,,,1,53.52,,,,,disrupted
row,V32,V32-R041,,,1,51.45,,,,,disrupted
row,V32,V32-R042,,,1,12.37,,,,,regular
row,V32,V32-R043,,,1,3.9,,,,,regular
row,V32,V32-R044,,,1,53.49,,,,,disrupted
row,V32,V32-R045,,,1,46.9,,,,,disrupted
row,V32,V32-R046,,,1,53.52,,,,,disrupted
row,V32,V32-R047,,,1,51.45,,,,,disrupted
row,V32,V32-R048,,,1,51.44,,,,,disrupted
row,V32,V32-R049,,,2,80.5,,,,,disrupted
row,V32,V32-R050,,,1,28.35,,,,,regular
row,V32,V32-R051,,,1,4.63,,,,,regular
row,V32,V32-R052,,,1,53.51,,,,,disrupted
row,V32,V32-R053,,,1,48.75,,,,,disrupted
row,V32,V32-R054,,,2,84.71,,,,,disrupted|regular
row,V32,V32-R055,,,1,9.42,,,,,regular
row,V32,V32-R056,,,1,40.5,,,,,disrupted
row,V32,V32-R057,,,1,51.47,,,,,disrupted
row,V32,V32-R058,,,1,53.5,,,,,disrupted
row,V32,V32-R059,,,1,44.47,,,,,regular
row,V32,V32-R060,,,1,46.93,,,,,regular
row,V32,V32-R061,,,1,51.45,,,,,regular
row,V32,V32-R062,,,1,14.4,,,,,regular
row,V32,V32-R063,,,1,52.17,,,,,regular
row,V32,V32-R064,,,2,84.38,,,,,regular
row,V32,V32-R065,,,1,19.15,,,,,regular
row,V32,V32-R066,,,1,51.43,,,,,disrupted
row,V32,V32-R067,,,1,51.45,,,,,regular
row,V32,V32-R068,,,2,84.23,,,,,regular
row,V32,V32-R069,,,1,22.87,,,,,regular
row,V32,V32-R070,,,1,51.45,,,,,regular
row,V32,V32-R071,,,2,84.47,,,,,regular
row,V32,V32-R072,,,1,40.27,,,,,disrupted
row,V32,V32-R073,,,1,51.65,,,,,disrupted
row,V32,V32-R074,,,2,84.5,,,,,regular
row,V32,V32-R075,,,1,37.54,,,,,regular
row,V32,V32-R076,,,1,51.55,,,,,disrupted
row,V32,V32-R077,,,1,51.67,,,,,regular
row,V32,V32-R078,,,1,51.65,,,,,regular
row,V32,V32-R079,,,2,84.32,,,,,regular
row,V32,V32-R080,,,1,44.08,,,,,regular
row,V32,V32-R081,,,1,51.65,,,,,regular
row,V32,V32-R082,,,1,39.3,,,,,regular
row,V32,V32-R083,,,1,51.17,,,,,disrupted
row,V32,V32-R084,,,1,51.65,,,,,regular
row,V32,V32-R085,,,1,49.95,,,,,regular
row,V32,V32-R086,,,2,84.29,,,,,regular
row,V32,V32-R087,,,1,51.54,,,,,disrupted
row,V32,V32-R088,,,1,43.4,,,,,disrupted
row,V32,V32-R089,,,1,4.08,,,,,regular
row,V32,V32-R090,,,1,19.63,,,,,regular
row,V32,V32-R091,,,1,51.65,,,,,disrupted
row,V32,V32-R092,,,1,51.57,,,,,regular
row,V32,V32-R093,,,2,82.79,,,,,regular
row,V32,V32-R094,,,1,51.57,,,,,disrupted
row,V32,V32-R095,,,1,51.65,,,,,disrupted
row,V32,V32-R096,,,1,58.6,,,,,regular
row,V32,V32-R097,,,1,51.17,,,,,disrupted
row,V32,V32-R098,,,1,51.67,,,,,disrupted
row,V32,V32-R099,,,1,59.33,,,,,disrupted
row,V32,V32-R100,,,1,51.57,,,,,regular
row,V32,V32-R101,,,1,7.75,,,,,regular
row,V32,V32-R102,,,1,47.75,,,,,disrupted
row,V32,V32-R103,,,1,64.15,,,,,disrupted
row,V32,V32-R104,,,1,51.18,,,,,disrupted
row,V32,V32-R105,,,2,76.74,,,,,regular
row,V32,V32-R106,,,1,41.05,,,,,disrupted
row,V32,V32-R107,,,1,35.8,,,,,disrupted
row,V32,V32-R108,,,1,63.95,,,,,regular
row,V32,V32-R109,,,1,30.85,,,,,disrupted
row,V32,V32-R110,,,1,24.65,,,,,regular
row,V32,V32-R111,,,1,51.17,,,,,disrupted
row,V32,V32-R112,,,1,19.62,,,,,disrupted
row,V32,V32-R113,,,1,6.42,,,,,regular
row,V32,V32-R114,,,1,51.55,,,,,regular
row,V32,V32-R115,,,1,13.3,,,,,regular
row,V32,V32-R116,,,1,64.07,,,,,disrupted
row,V32,V32-R117,,,3,84.34,,,,,disrupted|regular
row,V32,V32-R118,,,2,70.43,,,,,regular
row,V32,V32-R119,,,1,51.17,,,,,disrupted
row,V32,V32-R120,,,1,5.98,,,,,regular
row,V32,V32-R121,,,1,51.55,,,,,regular
row,V32,V32-R122,,,1,33.33,,,,,regular
row,V32,V32-R123,,,1,64.03,,,,,disrupted
row,V32,V32-R124,,,1,13.63,,,,,disrupted
row,V32,V32-R125,,,1,15.9,,,,,regular
row,V32,V32-R126,,,1,26.55,,,,,disrupted
row,V32,V32-R127,,,1,51.18,,,,,disrupted
row,V32,V32-R128,,,1,18.78,,,,,disrupted
row,V32,V32-R129,,,1,24.87,,,,,regular
row,V32,V32-R130,,,1,64.33,,,,,regular
row,V32,V32-R131,,,3,84.27,,,,,regular
row,V32,V32-R132,,,1,32.03,,,,,regular
row,V32,V32-R133,,,1,11.87,,,,,disrupted
row,V32,V32-R134,,,1,44.51,,,,,disrupted
row,V32,V32-R135,,,1,64.1,,,,,disrupted
row,V32,V32-R136,,,1,51.57,,,,,regular
row,V32,V32-R137,,,1,51.5,,,,,disrupted
row,V32,V32-R138,,,1,58.65,,,,,disrupted
row,V32,V32-R139,,,1,62.87,,,,,disrupted
row,V32,V32-R140,,,1,51.18,,,,,disrupted
row,V32,V32-R141,,,1,51.55,,,,,disrupted
row,V32,V32-R142,,,1,58.23,,,,,regular
row,V32,V32-R143,,,3,84.26,,,,,regular
row,V32,V32-R144,,,1,18.4,,,,,disrupted
